,2018,2019
0,5.993833,12.401173
1,31.317495,45.673256
2,55.717674,62.766895
3,75.57644,100.97217
4,20.931143,26.625051
5,29.300201,36.704865
6,27.680994,53.906242
7,42.187843,55.023678
8,26.33786,38.301888
9,46.109802,48.50386
10,13.190474,10.188908
11,7.458535,8.655643
12,7.376166,5.539378
13,0.87260747,0.13651706
14,0.52202344,3.4837384
15,26.323088,27.760035
16,79.56981,109.84258
17,133.9273,131.61263
18,127.44005,126.555046
19,66.444275,79.74493
20,66.632904,96.875946
21,104.07143,122.62971
22,108.2241,114.46138
23,114.64439,99.62121
24,101.61071,114.98042
25,68.29353,71.01212
26,39.7748,48.774143
27,29.800516,34.950504
28,4.9983544,5.133481
29,0.060090307,2.0020914
30,23.658869,26.298824
31,85.639984,87.02874
32,106.25359,117.067085
33,120.92346,133.76973
34,105.57307,113.54473
35,100.842,111.53434
36,142.13,179.14893
37,127.164764,133.02994
38,102.229546,119.62747
39,69.3678,77.906906
40,84.22473,82.35031
41,79.83357,98.58775
42,87.5091,114.90978
43,28.758413,24.493053
44,5.2915053,3.1671584
45,0.7466214,-1.1940627
46,0.6105114,-1.0805382
47,31.07209,39.563606
48,84.94089,106.21197
49,116.828224,122.8852
50,95.07701,106.815094
51,104.24114,119.55208
52,101.15538,115.32631
53,133.26697,120.84363
54,122.87336,133.41196
55,111.71896,125.51317
56,135.46567,158.96077
57,109.618164,122.57425
58,111.92993,116.57003
59,81.196014,88.75366
60,69.5559,78.84188
61,15.80703,15.306283
62,11.640837,11.808872
63,18.780632,22.586105
64,17.73287,8.919578
65,7.892718,6.835052
66,8.7901745,8.297276
67,2.7884808,3.3244584
68,0.072765656,4.7467704
69,4.8220243,14.005806
70,86.59372,108.193886
71,105.12683,125.01821
72,96.49327,127.19849
73,95.32035,134.75555
74,140.1099,140.8246
75,156.34143,168.23364
76,107.10941,133.28696
77,97.89098,120.41707
78,140.37994,143.43115
79,145.55026,139.23923
80,110.504364,117.3501
81,36.894096,42.953743
82,41.86956,63.785572
83,26.19465,26.219332
84,73.72966,80.71317
85,35.13183,41.523037
86,8.504116,1.3052014
87,14.694374,16.093302
88,40.03335,49.425808
89,10.398909,8.539277
90,0.51538587,0.80851305
91,-0.17550416,2.1299055
92,43.86644,62.050358
93,124.93271,148.95247
94,105.12315,122.10592
95,77.372665,98.08595
96,111.18219,122.79642
97,135.43282,138.26784
98,102.12504,121.953606
99,108.35567,115.39614
100,109.37859,109.09224
101,158.67264,156.11168
102,135.76395,135.21225
103,98.268974,116.283295
104,126.70112,101.08122
105,158.72409,133.05356
106,114.8988,121.135345
107,71.10695,75.57207
108,8.850497,12.288359
109,16.362951,2.8526943
110,5.078283,2.9199512
111,10.581669,9.980903
112,8.009871,6.891601
113,20.017126,18.937717
114,15.248556,18.256922
115,1.8168682,4.0377293
116,0.88790464,0.4863382
117,-0.7513133,2.713449
118,23.458723,32.34631
119,66.85334,98.92787
120,67.73043,100.38873
121,96.2859,135.6214
122,153.94232,152.74796
123,149.70073,139.80283
124,138.0401,135.95094
125,112.361275,126.758934
126,116.013756,119.81045
127,105.52263,118.0914
128,109.78839,117.19837
129,145.27155,133.45668
130,161.05533,133.16882
131,111.86638,90.99137
132,127.70265,125.842316
133,137.84438,124.14467
134,35.11248,41.010456
135,33.05995,37.484997
136,19.896736,19.565386
137,9.043152,8.631563
138,18.32594,24.39401
139,30.210787,41.61684
140,12.046954,10.558583
141,1.1938736,3.1007404
142,-1.0863894,3.0026126
143,21.89401,34.105934
144,71.15885,117.92764
145,94.48289,105.43206
146,120.38276,107.499954
147,146.01312,146.04984
148,91.52554,127.75846
149,106.34421,111.41403
150,116.727715,108.646385
151,117.972275,121.357605
152,99.74557,113.94106
153,126.95653,137.47412
154,126.35967,113.98152
155,157.0206,128.17339
156,142.19907,192.9977
157,125.75343,111.279465
158,186.53502,143.36858
159,140.81764,115.739975
160,41.44193,53.799404
161,11.005686,11.839597
162,9.487513,12.593983
163,45.979004,74.36331
164,176.67432,198.79509
165,63.07129,75.55466
166,37.130997,33.916405
167,-1.6943567,3.3499954
168,0.3034806,3.456215
169,14.724574,13.768489
170,74.182465,74.81691
171,83.00099,100.320206
172,81.50885,106.58328
173,151.52629,120.33997
174,113.26524,115.297424
175,90.95232,117.450935
176,109.74484,119.7204
177,100.016525,120.82933
178,129.35052,126.03559
179,137.77475,142.86015
180,182.72258,166.2176
181,180.79263,165.05458
182,105.10121,105.370514
183,112.62899,132.1188
184,99.983574,96.193726
185,78.441734,105.526085
186,83.67582,77.91799
187,52.37763,59.504578
188,8.790767,13.776239
189,56.365414,71.19709
190,198.9386,190.19264
191,144.91273,169.08615
192,49.310143,65.09685
193,23.108458,15.256569
194,10.538498,2.821387
